SECNO,REGION,STATE,STATION,LAT,LATITUDE,LONG,LUNIT,LONGITUD,VEGTAT,VEG,SOIL,SOIL2,CMAT,CRR,MCM,MWM,RHIGH,RLOW,RRCORR,TJAN,TFEB,TMAR,TAPR,TMAY,TJUN,TJUL,TAUG,TSEP,TOCT,TNOV,TDEC,TUNIT,RJAN,RFEB,RMAR,RAPR,RMAY,RJUN,RJUL,RAUG,RSEP,ROCT,RNOV,RDEC,RUNIT,ELEV,ELUNIT,COKLM,VEGNU
A,B,BRAZIL,GUATO-H&G,S,18.0000,W,DD,57.5000,FMO,,O,,25.3492,1218.7240,22.0800,27.0000,192.9130,16.0020,1.0000,26.8100,26.6900,26.3100,25.1100,23.6900,22.4200,22.0800,24.1900,26.1900,26.8100,26.8900,27.0000,C,192.9130,178.0540,175.5140,92.3290,57.0230,24.5110,17.5260,16.0020,45.9740,107.0610,141.6050,170.2120,MM,575.00,FT,1395.00,2.00
A,B,BRAZIL,HETA-H&G,S,23.5200,W,DD,53.6800,FBE,,U,,19.6158,1505.2030,15.1100,23.1400,173.7360,67.9450,0.1000,23.1400,22.8100,22.0600,19.5300,17.2500,15.5800,15.1100,17.1400,18.6900,20.0800,21.3900,22.6100,C,173.7360,137.5410,126.7460,115.9510,120.7770,106.1720,67.9450,78.2320,116.7130,147.4470,152.2730,161.6700,MM,1441.50,FT,558.00,4.00
A,B,BRAZIL,ILHEUS,S,14.7000,W,DD,39.0500,FE,FMO,U,,24.3380,2083.0540,22.0000,26.1111,270.0020,97.0280,2.0000,25.8889,26.1111,25.8889,25.2222,23.7778,22.7222,22.0000,22.3889,23.3889,24.2778,24.8889,25.5000,C,149.0980,162.0520,254.0000,270.0020,169.9260,195.0720,191.0080,130.0480,97.0280,123.9520,188.9760,151.8920,MM,144.00,FT,2.00,1.00
A,B,BRAZIL,IRAI,S,27.2000,W,DD,53.3000,FMT,,U,,18.9815,1733.0420,13.2778,24.1111,176.0220,82.0420,-3.0000,24.1111,23.6111,22.1111,18.3889,16.1111,14.7222,13.2778,14.8889,16.7778,19.2222,21.2778,23.2778,C,156.9720,149.0980,166.1160,143.0020,156.9720,82.0420,146.0500,109.9820,167.8940,176.0220,138.9380,139.9540,MM,744.00,FT,44.00,7.00
A,B,BRAZIL,JANUARETE,S,0.3000,W,DD,68.9000,FE,,O,,24.7917,3274.5680,23.8889,25.3889,361.9500,204.4700,5.0000,24.7778,25.2222,25.1111,24.8889,24.7222,24.2222,23.8889,24.2778,24.7778,25.2222,25.3889,25.0000,C,243.5860,217.4240,258.5720,361.9500,358.3940,350.5200,298.9580,272.0340,263.9060,231.6480,213.1060,204.4700,MM,400.00,FT,1040.00,1.00
A,B,BRAZIL,JANUARIA,S,15.5000,W,DD,44.3500,DTW,,A3,,24.4120,877.0620,22.0000,26.3889,216.9160,1.0160,2.0000,25.1111,25.2778,25.2222,24.6111,23.2778,22.2222,22.0000,23.3889,25.5000,26.3889,25.2222,24.7222,C,147.0660,104.9020,103.1240,52.0700,10.9220,1.0160,1.0160,2.0320,16.0020,56.8960,165.1000,216.9160,MM,1439.00,FT,590.00,13.00
A,B,BRAZIL,MADALENA,S,21.9833,W,DD,42.0167,FE,,U,,19.4954,1463.2940,15.7778,23.1111,242.0620,31.4960,-3.0000,22.2778,22.3889,23.1111,20.2222,18.1111,16.7778,15.7778,16.8889,18.1111,18.8889,20.0000,21.3889,C,225.5520,158.7500,154.6860,101.8540,68.0720,56.6420,31.4960,37.0840,72.3900,130.0480,184.6580,242.0620,MM,2098.00,FT,35.00,1.00
A,B,BRAZIL,MANAUS,S,3.1333,W,DD,60.0167,FE,,O,,26.6852,2102.3580,25.7778,27.8889,300.9900,40.8940,6.0000,25.8889,25.7778,25.7778,25.7778,26.3889,26.6111,26.8889,27.5000,27.8889,27.7222,27.2778,26.7222,C,276.0980,277.1140,300.9900,287.0200,193.0400,99.0600,60.9600,40.8940,61.9760,112.0140,165.1000,228.0920,MM,157.00,FT,1145.00,1.00
A,B,BRAZIL,MANICORE,S,5.8167,W,DD,61.3000,FE,,O,,26.6157,2868.4220,25.8889,27.2222,420.3700,53.0860,1.0000,26.3889,25.8889,26.1111,26.2778,26.7778,26.5000,26.2222,26.7778,26.8889,27.2222,27.1111,27.2222,C,420.3700,381.2540,397.7640,320.8020,226.5680,105.1560,53.0860,84.3280,146.8120,215.9000,196.8500,319.5320,MM,72.00,FT,1420.00,1.00
A,B,BRAZIL,NAMBIKWAR,S,12.7300,W,DD,59.5500,STG,,O,,23.5408,549.5000,21.0000,26.0000,96.7700,15.3400,6.0000,25.7200,26.0000,25.7200,24.2700,22.8800,21.8800,21.0000,21.3800,22.2000,23.0000,23.7200,24.7200,C,15.3400,16.6600,18.6700,32.4800,56.9600,64.5000,93.7700,96.7700,69.0500,41.3000,24.0000,20.0000,MM,1411.67,FT,1407.00,6.00
A,B,BRAZIL,NATAL,S,5.7667,W,DD,35.2000,SW,,A3,,26.1481,1547.8760,24.3889,27.2778,283.9720,13.9700,3.0000,27.2222,27.2778,27.2778,26.7222,26.0000,24.8889,24.3889,24.5000,25.5000,26.2778,26.7222,27.0000,C,42.9260,86.1060,188.9760,255.0160,262.8900,283.9720,208.0260,123.9520,46.9900,14.9860,13.9700,20.0660,MM,59.00,FT,2.00,3.00
